Object_Designation  ,Year_Range  ,Potential_Impacts  ,Impact_Probability_cumulative,Vinfinity,H_mag,Estimated_Diameter,Palermo_Scale,Palermo_Scale_max
(2018 RJ3),2070-2070,1,1.3E-06,8.13,27.8,0.009,-7.36,-7.36
(2011 EM40),2054-2113,12,1.4E-06,10.7,28,0.009,-7.37,-7.97
(2013 JM22),2095-2095,1,3.2E-09,29.67,23.3,0.075,-7.37,-7.37
(2018 WE),2057-2097,8,1.4E-06,12.75,28.3,0.007,-7.38,-7.64
(2011 AZ22),2034-2114,8,1.1E-06,12.52,28.6,0.006,-7.38,-7.47
(2019 UB8),2053-2118,13,4.3E-06,10.34,28.9,0.005,-7.38,-7.84
(2017 DP109),2086-2086,2,4.3E-07,12.33,26.9,0.014,-7.38,-7.56
(1993 HP1),2065-2112,4,4.5E-07,9.84,26.9,0.014,-7.39,-7.6
(2006 WK130),2103-2103,1,2E-09,20.74,22.4,0.11,-7.39,-7.39
(2007 EE126),2065-2092,3,3.2E-08,31.6,25.6,0.026,-7.39,-7.61
(2009 WJ6),2049-2056,2,3E-07,18.16,27.6,0.01,-7.39,-7.41
(2015 VL64),2085-2109,8,3E-06,8.68,28.3,0.007,-7.39,-7.96
(2008 CJ),2061-2106,2,1.1E-06,8.06,27.3,0.012,-7.4,-7.41
(2016 WR55),2100-2115,13,2.5E-06,14.12,28.3,0.007,-7.4,-7.73
(2019 LA2),2103-2116,5,3.7E-07,14.47,26.6,0.016,-7.4,-7.54
(2020 QR5),2103-2115,7,1.3E-06,6.79,27.3,0.012,-7.4,-7.55
(2001 SD286),2080-2080,1,5.7E-08,12.56,25.2,0.03,-7.41,-7.41
(2019 WV1),2078-2117,14,2.8E-06,8.74,28.2,0.008,-7.41,-7.85
(2014 EU),2080-2117,5,1.9E-06,5.63,27.7,0.01,-7.41,-7.72
(2009 WZ53),2025-2104,7,1E-08,18.98,24.1,0.052,-7.41,-7.85
(2016 FV7),2083-2083,1,1.7E-09,32.99,23.1,0.082,-7.41,-7.41
(2017 WY27),2045-2116,13,2.1E-06,8.1,27.9,0.009,-7.41,-8.02
(2015 VO142),2065-2118,10,6.9E-06,2.8,29,0.005,-7.42,-7.69
(2019 RQ2),2105-2105,1,8.3E-08,15.12,25.4,0.028,-7.42,-7.42
(2016 QY84),2022-2119,582,2.4E-05,3.21,31.4,0.002,-7.42,-8.32
(2018 RR1),2083-2118,15,2.4E-05,4.41,29.9,0.004,-7.42,-7.53
(2020 BM6),2119-2119,1,1.3E-08,11.48,23.4,0.072,-7.42,-7.42
(2008 CB6),2083-2105,3,7.2E-07,7.43,27.1,0.013,-7.43,-7.51
(2011 AD3),2027-2116,74,1.6E-07,12.63,26.6,0.017,-7.44,-8.26
(2011 UR63),2110-2110,2,1.4E-07,12.57,25.7,0.024,-7.44,-7.55
(2014 KS76),2089-2107,3,4.4E-07,7.18,26.6,0.016,-7.44,-7.6
(2020 AC1),2093-2117,9,4.2E-06,6.25,28.4,0.007,-7.44,-8
(2018 LV3),2061-2061,1,1.7E-07,11.19,26.6,0.017,-7.44,-7.44
(2015 VN64),2088-2094,3,6.2E-07,15.86,27.5,0.01,-7.45,-7.72
(2004 FY3),2104-2116,2,7.5E-08,11.79,25.1,0.032,-7.46,-7.5
(2012 HE31),2094-2117,2,1.7E-07,10.6,26,0.022,-7.47,-7.52
(2013 GW38),2070-2118,10,2.1E-06,10.27,28.4,0.007,-7.47,-7.71
(2003 DW10),2046-2058,2,8.7E-08,7.83,26.1,0.02,-7.48,-7.63
(2019 GS19),2102-2102,1,9.5E-08,13.87,25.6,0.025,-7.48,-7.48
(2007 XB23),2078-2115,10,6.7E-07,4.58,27.1,0.013,-7.49,-7.77
(2013 XS21),2079-2111,10,7.8E-06,7.5,29.4,0.004,-7.5,-7.8
(2019 KY3),2101-2110,2,2.1E-07,16.65,26.6,0.016,-7.5,-7.54
(2017 FA159),2022-2116,180,8.7E-07,6.96,28.6,0.006,-7.51,-8.15
(2002 AN129),2091-2091,1,1.3E-07,11.58,26,0.021,-7.52,-7.52
(2007 VD8),2023-2112,59,3.5E-07,12.65,27.7,0.01,-7.54,-8.32
(2011 DX4),2023-2114,24,4.9E-08,17.66,26.5,0.017,-7.54,-8.03
(2016 EL1),2068-2109,6,5.4E-07,19.9,27.8,0.009,-7.54,-7.98
(2018 XX2),2106-2106,1,1.5E-07,11.91,26,0.021,-7.55,-7.55
(2007 FP3),2055-2113,13,2E-06,9.65,28.4,0.007,-7.56,-7.9
(2016 DK2),2069-2069,1,1.5E-06,17.57,29,0.005,-7.56,-7.56
(2016 PA79),2037-2102,10,1.1E-08,12.69,24.3,0.047,-7.56,-8.16
(2017 FW158),2067-2115,16,1.4E-06,15,28.4,0.007,-7.56,-8.24
(2017 OO1),2115-2115,1,3.5E-08,10.04,24.5,0.042,-7.56,-7.56
(2019 NL4),2074-2074,1,8E-08,14.03,26.1,0.021,-7.57,-7.57
(2017 CY32),2041-2110,7,4.1E-07,19.78,28.4,0.007,-7.57,-7.91
(2017 UL5),2100-2111,2,2.6E-07,8.14,26.4,0.018,-7.57,-7.6
(2017 YM14),2056-2074,5,3.9E-07,18.39,27.8,0.009,-7.57,-7.75
(2007 EH26),2110-2110,1,1.2E-08,20.17,24.2,0.048,-7.58,-7.58
(2008 EK68),2021-2117,238,3.2E-06,7.6,29.8,0.004,-7.58,-8.44
(2018 GD2),2096-2117,15,8.6E-06,7.58,29.4,0.004,-7.58,-8.22
(2013 CY),2072-2111,7,2.2E-06,2.42,28.2,0.008,-7.59,-7.93
(2019 JY2),2059-2119,26,8.1E-06,7.67,29.6,0.004,-7.6,-8.34
(2017 UQ7),2096-2096,1,4E-08,14.07,25.2,0.031,-7.6,-7.6
(2020 SC),2088-2092,3,1.2E-07,21.86,26.7,0.016,-7.6,-7.8
(2018 FG1),2103-2117,7,6.5E-07,9.98,27.3,0.012,-7.61,-8.13
(2012 UE),2040-2058,4,6.2E-07,13.24,28.4,0.007,-7.63,-7.71
(2014 HB177),2085-2099,2,1.7E-06,6.08,28.3,0.007,-7.63,-7.67
(2018 HJ2),2085-2085,1,2.4E-08,8.41,24.6,0.041,-7.63,-7.63
(2014 HV2),2116-2116,1,1.2E-07,13.17,26,0.021,-7.63,-7.63
(2017 HY3),2024-2024,1,2.1E-09,16.89,25.4,0.028,-7.63,-7.63
(2019 VB5),2052-2118,106,6.2E-05,5.73,31.7,0.002,-7.64,-8.1
(2017 UL52),2030-2117,225,1.1E-06,5.89,28.1,0.008,-7.64,-8.81
(2015 KH158),2043-2115,18,6.1E-08,14.41,26,0.021,-7.65,-7.99
(2017 FB102),2054-2113,5,1.8E-07,8.76,26.8,0.015,-7.65,-8.02
(2011 EL40),2073-2073,1,8.6E-08,16.98,26.5,0.017,-7.65,-7.65
(2012 RU16),2036-2089,2,4.8E-08,9.13,25.6,0.026,-7.66,-7.9
(2016 FC1),2082-2088,4,2.1E-06,15.19,29.1,0.005,-7.66,-7.8
(2012 VV76),2074-2094,2,4.6E-08,14.73,25.6,0.026,-7.67,-7.81
(2019 TD),2042-2060,2,1.7E-06,9.79,29.2,0.005,-7.67,-7.84
(2008 UC202),2116-2116,3,2.4E-06,4.17,28.2,0.008,-7.68,-7.72
(2018 EL4),2110-2110,2,7.6E-08,5.58,25.3,0.03,-7.68,-7.93
(2019 JK),2053-2053,2,2.5E-07,17.81,28,0.009,-7.68,-7.8
(2016 UB26),2066-2066,1,1.2E-08,18.33,25,0.034,-7.68,-7.68
(2020 TD5),2118-2118,1,2.7E-07,9.12,26.6,0.016,-7.69,-7.69
(2008 JD33),2021-2117,156,2.4E-07,4.66,28,0.009,-7.69,-8.65
(2008 CM74),2079-2100,7,1.4E-06,4.08,28.1,0.008,-7.7,-8.12
(2009 VT1),2046-2109,5,2.5E-06,6.97,29.6,0.004,-7.7,-7.79
(2019 GK3),2103-2116,3,8.2E-06,2.95,29.5,0.004,-7.7,-7.71
(2020 UA),2068-2081,8,1.3E-06,6.5,28.4,0.007,-7.71,-8.17
(2003 UM3),2022-2115,37,4.5E-07,13.43,28,0.008,-7.72,-8.57
(2005 UC3),2072-2109,2,3.8E-07,7.83,27.1,0.013,-7.72,-7.93
(2014 OP2),2071-2079,3,1.8E-06,11.63,29.1,0.005,-7.72,-7.84
(2009 MU),2096-2099,2,1.6E-08,13.33,24.6,0.042,-7.73,-7.88
(2017 YE8),2112-2112,1,5.2E-08,14.26,25.5,0.027,-7.73,-7.73
(2014 WU200),2104-2111,3,4.8E-06,1.7,28.9,0.005,-7.73,-7.88
(2004 XO63),2065-2065,1,7.3E-08,8.16,26.1,0.021,-7.73,-7.73
(2008 YC3),2086-2103,5,5.8E-08,6.24,25.4,0.029,-7.74,-7.83
(2016 TG94),2096-2116,16,6.9E-06,8.76,29.6,0.004,-7.74,-8.32
(2020 CW),2046-2077,4,2.1E-05,20.11,32.5,0.001,-7.76,-7.76
(2019 QB1),2032-2053,2,1.1E-07,11.56,27.5,0.011,-7.77,-7.98
(2017 KB3),2100-2117,4,3.7E-08,11.43,25.1,0.033,-7.77,-7.84
(2019 CY2),2029-2029,2,1.6E-08,13.57,26.6,0.016,-7.77,-8.02
(2017 KH5),2067-2074,2,2.4E-07,14.82,27.6,0.01,-7.78,-8.07
(2010 GV23),2096-2105,2,7.3E-07,5.42,27.6,0.01,-7.79,-7.97
(2015 KH160),2087-2107,3,3.5E-08,30.01,26.4,0.018,-7.8,-7.93
(2015 FC345),2097-2109,3,8.5E-07,6.76,27.8,0.009,-7.8,-7.8
(2004 FM4),2116-2116,1,1.5E-08,14.82,24.6,0.042,-7.81,-7.81
(2017 UW5),2081-2111,2,1.2E-06,13.01,28.7,0.006,-7.82,-8.12
(2020 DM3),2109-2109,1,6.8E-08,16.52,26.2,0.02,-7.83,-7.83
(2010 XB),2027-2029,2,2.5E-07,19.67,29.6,0.004,-7.84,-8.1
(2011 FQ16),2105-2114,4,6.5E-07,7.99,27.7,0.01,-7.84,-8.03
(2020 UY),2068-2119,12,2.3E-06,6.85,28.9,0.005,-7.84,-8.5
(2012 BN123),2074-2110,4,2.8E-09,10.15,23.2,0.078,-7.85,-8.15
(2019 VA),2090-2112,3,1.1E-06,8.24,28.3,0.007,-7.85,-8.04
(2017 UF),2066-2082,2,1.8E-07,23.24,27.9,0.009,-7.85,-8.08
(2019 YV4),2035-2049,4,6.2E-08,18.77,27.3,0.012,-7.86,-7.96
(2017 UL6),2058-2106,23,4.7E-05,7.13,32,0.001,-7.86,-8.37
(2016 GS134),2054-2070,2,2.7E-07,11.02,27.8,0.01,-7.87,-8
(2020 SX6),2084-2108,7,3.1E-07,4.04,27.1,0.013,-7.87,-8.36
(2014 HM199),2025-2104,2,4.9E-10,10.54,23.7,0.063,-7.88,-7.9
(2020 GV2),2077-2078,2,9.6E-08,14.88,26.9,0.014,-7.88,-8.08
(2008 EF85),2110-2110,3,1.7E-07,9.53,26.7,0.016,-7.89,-7.93
(2019 QF),2069-2077,2,3.6E-07,11.14,27.9,0.009,-7.89,-8.13
(2020 RB7),2105-2117,5,1.9E-07,19.07,27.3,0.012,-7.9,-8.03
(2017 TU1),2076-2101,2,7E-08,10.75,26.1,0.02,-7.9,-8.03
(2018 XF2),2104-2104,1,9.6E-08,10.11,26.3,0.019,-7.9,-7.9
(2020 FG),2102-2118,5,4.3E-07,14.79,27.9,0.009,-7.9,-8.38
(2020 FU2),2098-2112,6,9.7E-07,12.88,28.6,0.006,-7.91,-8.15
(2015 HE1),2098-2098,1,1.4E-07,14.6,27,0.013,-7.92,-7.92
(2020 SL6),2092-2110,4,3.6E-07,14.46,27.8,0.009,-7.92,-8.06
(2019 EH1),2052-2118,13,2.8E-06,14.48,30.1,0.003,-7.93,-8.44
(2008 VB4),2030-2106,18,1.2E-07,11.59,28.2,0.008,-7.94,-8.2
(2008 UM1),2021-2073,7,5.4E-07,18.99,31.6,0.002,-7.94,-7.98
(2018 BX5),2090-2118,10,2E-06,7.78,29,0.005,-7.94,-8.36
(2020 SK4),2055-2119,30,1E-05,5.52,30.3,0.003,-7.94,-8.75
(2011 SE191),2098-2098,1,1.6E-08,14.57,25.1,0.033,-7.96,-7.96
(2017 VF14),2080-2093,5,7.2E-07,11.85,28.5,0.007,-7.96,-8.23
(2015 SK7),2059-2107,4,9.2E-07,12.16,28.8,0.006,-7.96,-8.27
(2015 XH55),2092-2117,6,2.5E-06,7.13,29.2,0.005,-7.97,-8.33
(2020 TW),2076-2117,4,4E-07,5.3,27.5,0.011,-7.97,-8.27
(2017 BE30),2100-2100,1,4.8E-08,16.69,26.3,0.019,-7.98,-7.98
(2012 TP20),2069-2102,3,4E-07,7.3,27.9,0.009,-7.99,-8.28
(2016 FE15),2068-2116,3,6.1E-07,12.2,28.8,0.006,-8.01,-8.02
(2016 VF18),2031-2082,6,2.4E-06,10.06,29.8,0.004,-8.01,-8.05
(2020 RR4),2082-2082,1,3E-08,12.73,25.9,0.022,-8.03,-8.03
(2017 YD2),2055-2065,4,5.9E-07,8.49,28.7,0.006,-8.04,-8.09
(2019 DM1),2072-2091,3,2.3E-07,17.58,28,0.008,-8.05,-8.25
(2019 YL3),2047-2047,1,1.1E-07,9.99,27.7,0.01,-8.05,-8.05
(2013 NR13),2114-2114,1,4E-08,11.31,25.8,0.024,-8.05,-8.05
(2020 AR1),2088-2088,1,1.7E-07,9.05,27.2,0.012,-8.06,-8.06
(2019 CZ1),2114-2114,1,3.8E-09,22.61,24.3,0.047,-8.06,-8.06
(2015 FU344),2066-2111,10,7E-06,9.92,31,0.002,-8.07,-8.26
(2019 TN5),2041-2041,1,1.6E-07,11.59,28.4,0.007,-8.07,-8.07
(2015 PS228),2080-2115,3,1.4E-06,2.55,28.9,0.005,-8.08,-8.16
(2020 BA13),2068-2105,8,9.2E-07,10.01,28.8,0.006,-8.08,-8.69
(2020 GX),2061-2079,4,1.2E-09,21.69,23.9,0.055,-8.09,-8.43
(2019 QR8),2105-2105,3,3.5E-07,12.93,28,0.008,-8.1,-8.33
(2018 LE1),2102-2102,1,3.8E-07,5.9,27.7,0.01,-8.1,-8.1
