Object_Designation  ,Year_Range  ,Potential_Impacts  ,Impact_Probability_cumulative,Vinfinity,H_mag,Estimated_Diameter,Palermo_Scale,Palermo_Scale_max
(2009 SH1),2070-2116,32,6.7E-08,5.56,30,0.003,-9.88,-10.87
(2020 UA3),2118-2118,1,2.6E-09,6.29,26.7,0.015,-9.88,-9.88
(2009 EH1),2051-2051,1,1.5E-09,10.6,27.9,0.009,-10.01,-10.01
(2015 RU178),2055-2055,1,9.6E-10,18.73,27.9,0.009,-10.04,-10.04
(2007 RC20),2091-2091,1,1.2E-09,5.07,26.7,0.016,-10.05,-10.05
(2014 HC196),2112-2112,1,2E-10,10.36,25.2,0.031,-10.09,-10.09
(2012 CQ46),2098-2107,2,1.3E-09,12.89,27.3,0.012,-10.14,-10.42
(2020 TS4),2103-2103,1,3.6E-09,4.11,27.9,0.009,-10.26,-10.26
(2019 UN13),2111-2111,1,2.9E-07,10.18,32.1,0.001,-10.28,-10.28
(2016 VH),2115-2115,1,9.3E-10,4.79,26.8,0.015,-10.36,-10.36
(2014 YP44),2092-2101,3,3.8E-10,4.34,26.1,0.02,-10.36,-10.7
(2018 PR7),2097-2097,1,4.2E-09,4.18,28.5,0.007,-10.47,-10.47
(2012 UL171),2083-2083,2,5E-10,4.07,26.9,0.014,-10.55,-10.71
(2016 MH3),2104-2104,2,5.4E-10,4.79,27.1,0.013,-10.69,-10.82
(2020 CM),2119-2119,1,8.4E-10,10.71,27.9,0.009,-10.78,-10.78
(2016 DB),2059-2059,1,5E-10,9.16,28.5,0.007,-10.94,-10.94
(2012 FN),2089-2113,3,1.8E-09,3.7,29.1,0.005,-11.15,-11.4
(2018 RW),2110-2110,1,5.4E-09,5.74,30.3,0.003,-11.24,-11.24
(2019 UT5),2080-2080,1,2.4E-10,14.16,28.4,0.007,-11.28,-11.28
(2017 YK14),2075-2075,1,1.7E-10,3.25,28.2,0.008,-11.59,-11.59
(2019 BZ3),2092-2092,1,1.5E-10,10.55,28.7,0.006,-11.8,-11.8
(2019 AS5),2085-2085,1,3.4E-09,10.17,32.3,0.001,-12.16,-12.16
